bit_width_lambda,accuracy_mean,accuracy_std,bit_operations_mean,bit_operations_std,average_bit_width_mean,average_bit_width_std
1,60.75292527675629,2.2420912981033325,305024938075.7895,21722720842.105286,5.0,0.2727272727272725
-1e-08,66.35800302028656,0.9845525026321411,424616911764.2105,40838715183.1579,7.454545454545455,0.5454545454545454
-0.1,63.4274423122406,3.9302945137023926,402894190922.1052,62561436025.26315,7.181818181818182,0.8181818181818183
