bit_width_lambda,accuracy_mean,accuracy_std,bit_operations_mean,bit_operations_std,average_bit_width_mean,average_bit_width_std
-0.01,80.98000288009644,1.17626517193938,4015909440.0,177340.80000000002,7.822222222222221,0.2775554665954845
-0.015,81.36000394821167,0.8126504961764265,4015909440.0,177340.80000000002,7.866666666666665,0.28458329944146005
-0.02,80.70000410079956,1.223110732755097,4015909440.0,289596.31371797534,7.777777777777777,0.2981423969999721
-0.025,81.57000362873077,1.1463424010993843,4015909440.0,236454.4,7.911111111111111,0.17777777777777787
-0.03,81.72000408172607,0.8400000135116491,4015613872.0,4362816.126490338,7.644444444444444,0.4354648431614539
-0.035,81.28000378608704,0.6112281450625608,4015909440.0,270892.5466013415,7.866666666666667,0.2036700308869263
-0.04,81.3500040769577,0.6786007593112258,4015909440.0,236454.4,7.822222222222223,0.21773242158072706
-0.045,81.69000387191772,0.5448858526569452,4015909440.0,177340.80000000002,7.822222222222223,0.21773242158072706
-0.05,81.68000400066376,0.7743380952669254,4015909440.0,270892.5466013415,7.866666666666667,0.2036700308869263
-0.055,81.3500040769577,0.9851409981130377,4015909440.0,270892.5466013415,7.822222222222223,0.29481109247603565
-0.06,80.96000373363495,0.7812809348132281,4015613872.0,3176232.867543965,7.5777777777777775,0.41514537093932
-0.065,81.76000416278839,0.6666337983005947,4015909440.0,0.0,7.866666666666665,0.2666666666666668
-0.07,81.80000424385071,0.6870232597223805,4015909440.0,177340.8,7.955555555555556,0.1333333333333334
-0.075,80.84000408649445,0.6829347609104537,4015909440.0,177340.80000000002,7.5777777777777775,0.35066075195687796
-0.08,81.34000420570374,1.238709436979863,4015909440.0,177340.80000000002,7.7555555555555555,0.39063101847215437
-0.085,81.06000363826752,1.086461426119377,4015909440.0,177340.80000000002,7.688888888888888,0.31739681904634903
-0.09,81.67000412940979,0.6435066566169709,4015909440.0,177340.80000000002,7.955555555555556,0.1333333333333334
-0.095,81.68000400066376,0.8084548765503617,4015909440.0,236454.4,7.822222222222223,0.21773242158072706
-0.1,81.78000450134277,0.6095900784202442,4015909440.0,177340.80000000002,7.866666666666667,0.2036700308869263
0.0,79.6500039100647,1.2330856125163543,4015909440.0,289596.31371797534,6.7333333333333325,0.3150543750835072
0.005,80.15000462532043,1.2109920055313073,4015909440.0,236454.4,6.688888888888888,0.25239592648001224
0.01,79.88000333309174,2.342562721618182,4015909440.0,4847705.057493098,6.7333333333333325,0.3590109871423003
0.015,80.31000316143036,0.8699996923590433,4015909440.0,177340.80000000002,6.7555555555555555,0.3173968190463487
0.02,80.54000318050385,0.37735975730124216,4015909440.0,303496162.45965844,6.7333333333333325,0.3590109871423001
0.025,79.99000370502472,1.2549505887069663,4007506864.0,323136067.72337925,6.511111111111111,0.34498165991688945
0.03,79.52000498771667,1.2351518738381413,4015613872.0,305027300.5294884,6.5777777777777775,0.361068373539376
0.035,79.9800032377243,0.9239046423182806,4015318304.0,324354584.89692414,6.4,0.21773242158072703
0.04,79.15000259876251,1.2330856366853746,3353626517.3333335,265474260.55020002,6.044444444444444,0.35555555555555574
0.045,78.84000420570374,1.6889056723430655,3353626517.3333335,323805744.98138833,6.088888888888889,0.3874576838702823
0.05,80.37000358104706,0.5348824741864402,3353626517.3333335,322495812.836687,6.466666666666667,0.30550504633038944
0.055,79.75000441074371,1.9500004175387615,3353626517.3333335,265854577.70039862,6.288888888888889,0.3590109871423004
0.06,78.26000213623047,2.83203156142251,3353330949.3333335,267439400.03095758,6.0888888888888895,0.5086899174337601
0.065,79.79000389575958,1.6189191307475017,3353626517.3333335,199928997.67196313,6.133333333333333,0.4682512779045661
0.07,79.54000353813171,0.9840729394000596,3353626517.3333335,265854577.70039862,6.244444444444445,0.48125350728239386
0.075,79.91000354290009,1.3508885356259621,3353626517.3333335,5573497.626222384,6.222222222222221,0.45542003404264886
0.08,79.03000295162201,1.0010502797279233,3353035381.3333335,199800238.28756535,6.111111111111111,0.40061680838488783
0.085,78.62000346183777,1.6992928653816721,3353035381.3333335,200514848.45300668,5.911111111111111,0.46825127790456633
0.09,78.3100038766861,1.592136466874135,3353035381.3333335,6431928.020628887,5.844444444444445,0.3590109871423004
0.095,79.24000442028046,1.2792184619351157,3347926277.3333335,201413133.28676683,5.844444444444443,0.4449996532111288
0.1,78.69000375270844,1.5769911239094592,3353035381.3333335,7457523.461545191,5.888888888888888,0.3751542892474253
