bit_width_lambda,accuracy_mean,accuracy_std,bit_operations_mean,bit_operations_std,average_bit_width_mean,average_bit_width_std
-0.01,70.37000298500061,0.5177835763759978,12655518208.0,633061956.6188186,7.733333333333334,0.4073400617738524
-0.015,70.39000332355499,0.771297306669531,12655518208.0,845305508.104124,7.688888888888888,0.446661138716484
-0.02,70.14000236988068,0.5589279627048462,12655518208.0,4567071.665827441,7.755555555555555,0.25239592648001224
-0.025,70.47000348567963,0.5000997967330729,12655518208.0,2785231.2843975024,7.911111111111111,0.17777777777777787
-0.03,69.86000299453735,0.7799998613522321,12655518208.0,2796748.8000000003,7.688888888888888,0.39999999999999997
-0.035,70.44000327587128,0.37735947298971134,12655518208.0,131097.59999999998,7.866666666666665,0.28458329944146005
-0.04,70.36000311374664,0.6069601690270628,12655518208.0,1513792.3220428354,7.822222222222223,0.29481109247603565
-0.045,70.36000370979309,0.4431699896244898,12655518208.0,0.0,7.866666666666667,0.28458329944146005
-0.05,70.180002450943,0.6352952841322002,12655518208.0,131097.59999999998,7.911111111111111,0.17777777777777787
-0.055,70.15000343322754,0.7172873320752563,12655518208.0,0.0,8.0,0.0
-0.06,69.6800023317337,1.0934340034258643,12655518208.0,0.0,7.666666666666666,0.33333333333333354
-0.065,69.83000338077545,1.0080184082248256,12655518208.0,174796.8,7.911111111111111,0.17777777777777787
-0.07,70.29000341892242,0.5682430792598229,12655518208.0,1533081.6,7.955555555555556,0.1333333333333334
-0.075,70.14000356197357,0.42941873430686706,12655518208.0,174796.80000000002,7.911111111111111,0.17777777777777787
-0.08,69.09000337123871,1.3118312854587477,12655518208.0,1533081.6,7.288888888888889,0.5862624870343519
-0.085,69.3800038099289,1.6606021696639075,12655518208.0,0.0,7.666666666666666,0.33333333333333354
-0.09,69.99000251293182,0.49284778892264886,12655518208.0,0.0,7.866666666666665,0.2036700308869263
-0.095,69.75000441074371,1.0744768735075212,12655518208.0,1524094.0959625293,7.71111111111111,0.3855411460643883
-0.1,70.2700024843216,0.506062445950737,12655518208.0,131097.59999999998,7.955555555555556,0.1333333333333334
0.0,67.40000307559967,1.9068302557155525,12652963072.0,4456302.271220228,6.7555555555555555,0.47868131618973364
0.005,67.28000283241272,1.0438385111135462,12655518208.0,1394702429.4853451,6.622222222222223,0.45324617898602526
0.01,66.75000250339508,1.2233152047298033,10552925184.0,630777907.1999999,6.333333333333333,0.3181738014061413
0.015,67.26000249385834,1.83150173334495,10552925184.0,1158370344.6269395,6.022222222222221,0.6320650068145731
0.02,66.57000362873077,1.293096551634465,8450332160.0,948784640.5196671,5.777777777777778,0.5879447357921311
0.025,66.85000360012054,1.7551357507242853,8450332160.0,1028526366.229552,5.777777777777779,0.3583225665910466
0.03,66.93000376224518,0.32878547231027877,8447777024.0,1470808977.0473254,5.6,0.29481109247603565
0.035,65.47000348567963,1.6031531377633579,6873387392.0,1133947615.1269755,5.222222222222223,0.34783279649996707
0.04,66.40000283718109,1.2214749934697107,6338416640.0,1248075240.5580058,5.155555555555557,0.36918328279635865
0.045,66.91000282764435,2.629620818355777,6340304256.0,873891000.5697178,5.222222222222221,0.6831300510639732
0.05,67.11000263690948,2.1285912212494904,6347739136.0,1074105858.95595,5.4222222222222225,0.26666666666666666
0.055,66.430002450943,2.3298284690169466,6336086016.0,513107764.90317005,5.288888888888889,0.31111111111111106
0.06,67.09000289440155,1.7660409288532222,6345184000.0,1032379757.6756877,5.222222222222222,0.47919685895217373
0.065,66.99000358581543,1.5423683651323918,6333755392.0,482592957.3716589,4.866666666666665,0.6398302243950208
0.07,67.30000376701355,1.1738828205696625,6333755392.0,513526450.10147095,4.955555555555557,0.3303570832737443
0.075,67.61000394821167,1.4706801599103645,5296442624.0,630964943.9317043,5.022222222222221,0.39999999999999986
0.08,65.61000347137451,1.636124322960297,5287120128.0,631361767.7925441,4.666666666666667,0.3142696805273544
0.085,65.2300027012825,5.894582989315535,5282458880.0,736070518.0042768,4.666666666666666,0.3849001794597504
0.09,66.77000403404236,1.9910040366454391,5282458880.0,422886632.37623084,4.844444444444444,0.4192880503136266
0.095,65.40000379085541,1.476481987913469,5282458880.0,738626461.9718137,4.511111111111111,0.4337604732431807
0.1,66.57000303268433,1.478546894149927,5284571008.0,665722100.2579991,4.5777777777777775,0.5979388465366093
