Bit Widths,Accuracy,Std. Dev.,Average Bit Width,Estimated Bit Operation Precision
"[2, 2, 2, 2, 4, 2, 8, 4, 4]",57.10000395774841,5.752101928375181,3.3333333333333335,1.019987456
"[2, 2, 2, 2, 4, 2, 8, 4, 8]",50.93333522478739,0.5557779659552259,3.7777777777777777,1.020783296
"[2, 2, 2, 2, 4, 2, 8, 8, 2]",41.30000372727712,10.492220530208316,3.5555555555555554,1.019589536
"[2, 2, 2, 2, 4, 2, 8, 8, 4]",62.13333606719971,2.8193776225380947,3.7777777777777777,1.019987456
"[2, 2, 2, 2, 4, 2, 8, 8, 8]",53.46667071183523,3.2273150151334598,4.222222222222222,1.020783296
"[2, 2, 2, 2, 4, 4, 2, 2, 2]",45.73333462079366,8.889069728528389,2.4444444444444446,1.0147368
"[2, 2, 2, 2, 4, 4, 2, 2, 4]",65.6000018119812,3.7157331386239463,2.6666666666666665,1.01513472
"[2, 2, 2, 2, 4, 4, 2, 2, 8]",69.16667024294536,3.512200314312642,3.111111111111111,1.01593056
"[2, 2, 2, 2, 4, 4, 2, 4, 2]",35.933334628740944,3.4179267515090914,2.6666666666666665,1.0147368
"[2, 2, 2, 2, 4, 4, 2, 4, 4]",68.36666862169902,4.155584402559487,2.888888888888889,1.01513472
"[2, 2, 2, 2, 4, 4, 2, 4, 8]",69.6666677792867,1.75941944325918,3.3333333333333335,1.01593056
"[2, 2, 2, 2, 4, 4, 2, 8, 2]",37.366669376691185,2.6662500800138824,3.111111111111111,1.0147368
"[2, 2, 2, 2, 4, 4, 2, 8, 4]",70.90000510215759,0.37416570044649716,3.3333333333333335,1.01513472
"[2, 2, 2, 2, 4, 4, 2, 8, 8]",70.6000030040741,2.0992049165309634,3.7777777777777777,1.01593056
"[2, 2, 2, 2, 4, 4, 4, 2, 2]",39.40000136693319,4.123914454606483,2.6666666666666665,1.017163168
"[2, 2, 2, 2, 4, 4, 4, 2, 4]",64.80000416437785,2.4657654413253187,2.888888888888889,1.017561088
"[2, 2, 2, 2, 4, 4, 4, 2, 8]",69.46667035420735,2.701029707743494,3.3333333333333335,1.018356928
"[2, 2, 2, 2, 4, 4, 4, 4, 2]",39.93333478768667,2.248456914430841,2.888888888888889,1.017163168
"[2, 2, 2, 2, 4, 4, 4, 4, 4]",62.233336766560875,7.739224457256906,3.111111111111111,1.017561088
"[2, 2, 2, 2, 4, 4, 4, 4, 8]",71.46667043368022,1.2229308899255826,3.5555555555555554,1.018356928
"[2, 2, 2, 2, 4, 4, 4, 8, 2]",36.4000012477239,2.083266071251348,3.3333333333333335,1.017163168
"[2, 2, 2, 2, 4, 4, 4, 8, 4]",69.26666895548503,1.7556276059497593,3.5555555555555554,1.017561088
"[2, 2, 2, 2, 4, 4, 4, 8, 8]",68.56667002042134,0.5557779659552258,4.0,1.018356928
"[2, 2, 2, 2, 4, 4, 8, 2, 2]",54.70000306765238,2.7178431106985785,3.111111111111111,1.022015904
"[2, 2, 2, 2, 4, 4, 8, 2, 4]",65.36666949590047,0.6798706462734901,3.3333333333333335,1.022413824
"[2, 2, 2, 2, 4, 4, 8, 2, 8]",72.50000238418579,0.6377044175470827,3.7777777777777777,1.023209664
"[2, 2, 2, 2, 4, 4, 8, 4, 2]",52.633336186409,2.4904269047264926,3.3333333333333335,1.022015904
"[2, 2, 2, 2, 4, 4, 8, 4, 4]",68.36666862169902,0.2867453340803151,3.5555555555555554,1.022413824
"[2, 2, 2, 2, 4, 4, 8, 4, 8]",68.00000270207723,0.6976134078849321,4.0,1.023209664
"[2, 2, 2, 2, 4, 4, 8, 8, 2]",46.16667032241821,4.543371664693973,3.7777777777777777,1.022015904
"[2, 2, 2, 2, 4, 4, 8, 8, 4]",65.33333659172058,2.9227081510855966,4.0,1.022413824
"[2, 2, 2, 2, 4, 4, 8, 8, 8]",70.66667079925537,1.4383644096084776,4.444444444444445,1.023209664
"[2, 2, 2, 2, 4, 8, 2, 2, 2]",39.20000294844309,10.614457408893264,2.888888888888889,1.019589536
"[2, 2, 2, 2, 4, 8, 2, 2, 4]",69.20000314712524,1.9866215489969885,3.111111111111111,1.019987456
"[2, 2, 2, 2, 4, 8, 2, 2, 8]",70.96667091051738,2.053181118958909,3.5555555555555554,1.020783296
"[2, 2, 2, 2, 4, 8, 2, 4, 2]",39.93333578109741,3.6917332951782096,3.111111111111111,1.019589536
"[2, 2, 2, 2, 4, 8, 2, 4, 4]",69.9666718641917,1.1841539962382754,3.3333333333333335,1.019987456
"[2, 2, 2, 2, 4, 8, 2, 4, 8]",72.1333384513855,2.0038861192698976,3.7777777777777777,1.020783296
"[2, 2, 2, 2, 4, 8, 2, 8, 2]",37.86666889985403,3.724096939317547,3.5555555555555554,1.019589536
"[2, 2, 2, 2, 4, 8, 2, 8, 4]",69.23333605130513,3.1982620614381494,3.7777777777777777,1.019987456
"[2, 2, 2, 2, 4, 8, 2, 8, 8]",71.5333342552185,1.1085523771321957,4.222222222222222,1.020783296
"[2, 2, 2, 2, 4, 8, 4, 2, 2]",42.06666946411133,1.5627612262646648,3.111111111111111,1.022015904
"[2, 2, 2, 2, 4, 8, 4, 2, 4]",67.40000247955322,2.393045057009505,3.3333333333333335,1.022413824
"[2, 2, 2, 2, 4, 8, 4, 2, 8]",69.60000197092693,1.5577757784831099,3.7777777777777777,1.023209664
"[2, 2, 2, 2, 4, 8, 4, 4, 2]",34.53333477179209,0.16996649262545055,3.3333333333333335,1.022015904
"[2, 2, 2, 2, 4, 8, 4, 4, 4]",67.20000306765239,1.639106283945835,3.5555555555555554,1.022413824
"[2, 2, 2, 2, 4, 8, 4, 4, 8]",72.10000356038411,0.8602313829762913,4.0,1.023209664
"[2, 2, 2, 2, 4, 8, 4, 8, 2]",36.26666863759359,0.37712438089567835,3.7777777777777777,1.022015904
"[2, 2, 2, 2, 4, 8, 4, 8, 4]",66.76667133967082,0.6548973667682423,4.0,1.022413824
"[2, 2, 2, 2, 4, 8, 4, 8, 8]",72.60000308354695,2.2196107167380887,4.444444444444445,1.023209664
"[2, 2, 2, 2, 4, 8, 8, 2, 2]",46.266669034957886,3.1201853050898913,3.5555555555555554,1.02686864
"[2, 2, 2, 2, 4, 8, 8, 2, 4]",66.60000483194987,1.1313703328971343,3.7777777777777777,1.02726656
"[2, 2, 2, 2, 4, 8, 8, 2, 8]",70.50000429153442,1.1860290961065587,4.222222222222222,1.0280624
"[2, 2, 2, 2, 4, 8, 8, 4, 2]",55.30000229676565,4.060378221487278,3.7777777777777777,1.02686864
"[2, 2, 2, 2, 4, 8, 8, 4, 4]",68.53333512941997,4.073766115915424,4.0,1.02726656
"[2, 2, 2, 2, 4, 8, 8, 4, 8]",70.13333439826965,0.7717226510444541,4.444444444444445,1.0280624
"[2, 2, 2, 2, 4, 8, 8, 8, 2]",47.700002789497375,4.707441721640175,4.222222222222222,1.02686864
"[2, 2, 2, 2, 4, 8, 8, 8, 4]",68.56667002042134,1.1085531537815034,4.444444444444445,1.02726656
"[2, 2, 2, 2, 4, 8, 8, 8, 8]",71.63333694140117,2.5420890277913535,4.888888888888889,1.0280624
"[2, 2, 2, 2, 8, 2, 2, 2, 2]",42.70000159740448,4.961853736190954,2.6666666666666665,1.025945824
"[2, 2, 2, 2, 8, 2, 2, 2, 4]",48.33333591620127,9.937918442367488,2.888888888888889,1.026343744
"[2, 2, 2, 2, 8, 2, 2, 2, 8]",50.00000298023224,2.4055492249314816,3.3333333333333335,1.027139584
"[2, 2, 2, 2, 8, 2, 2, 4, 2]",44.76666947205862,5.706916307235755,2.888888888888889,1.025945824
"[2, 2, 2, 2, 8, 2, 2, 4, 4]",49.50000246365865,5.081337228036819,3.111111111111111,1.026343744
"[2, 2, 2, 2, 8, 2, 2, 4, 8]",48.966669042905174,5.375457924698175,3.5555555555555554,1.027139584
"[2, 2, 2, 2, 8, 2, 2, 8, 2]",36.80000205834707,5.892934555756383,3.3333333333333335,1.025945824
"[2, 2, 2, 2, 8, 2, 2, 8, 4]",50.533335407574974,1.0403005102343343,3.5555555555555554,1.026343744
"[2, 2, 2, 2, 8, 2, 2, 8, 8]",47.73333569367727,2.574662633459667,4.0,1.027139584
"[2, 2, 2, 2, 8, 2, 4, 2, 2]",33.600001533826195,7.4957769359639626,2.888888888888889,1.028372192
"[2, 2, 2, 2, 8, 2, 4, 2, 4]",46.3666687409083,1.5627617559952032,3.111111111111111,1.028770112
"[2, 2, 2, 2, 8, 2, 4, 2, 8]",42.60000288486481,2.8437067099829423,3.5555555555555554,1.029565952
"[2, 2, 2, 2, 8, 2, 4, 4, 2]",37.500001986821495,5.61664320415439,3.111111111111111,1.028372192
"[2, 2, 2, 2, 8, 2, 4, 4, 4]",51.73333485921224,6.544887173004557,3.3333333333333335,1.028770112
"[2, 2, 2, 2, 8, 2, 4, 4, 8]",46.23333513736725,4.601690085656743,3.7777777777777777,1.029565952
"[2, 2, 2, 2, 8, 2, 4, 8, 2]",51.20000143845876,9.099817560361828,3.5555555555555554,1.028372192
"[2, 2, 2, 2, 8, 2, 4, 8, 4]",47.73333470026652,3.0269163519286124,3.7777777777777777,1.028770112
"[2, 2, 2, 2, 8, 2, 4, 8, 8]",50.300002098083496,1.4764826741930746,4.222222222222222,1.029565952
"[2, 2, 2, 2, 8, 2, 8, 2, 2]",52.56667037804922,6.127716422770757,3.3333333333333335,1.033224928
"[2, 2, 2, 2, 8, 2, 8, 2, 4]",53.100002805391945,3.795610948672099,3.5555555555555554,1.033622848
"[2, 2, 2, 2, 8, 2, 8, 2, 8]",56.80000285307566,7.253046394458141,4.0,1.034418688
"[2, 2, 2, 2, 8, 2, 8, 4, 2]",48.96667003631592,8.629150536616027,3.5555555555555554,1.033224928
"[2, 2, 2, 2, 8, 2, 8, 4, 4]",55.133336782455444,5.925276140716335,3.7777777777777777,1.033622848
"[2, 2, 2, 2, 8, 2, 8, 4, 8]",57.800002892812095,3.963164732458836,4.222222222222222,1.034418688
"[2, 2, 2, 2, 8, 2, 8, 8, 2]",49.00000194708506,2.939387564805727,4.0,1.033224928
"[2, 2, 2, 2, 8, 2, 8, 8, 4]",56.06666803359985,10.1732770831606,4.222222222222222,1.033622848
"[2, 2, 2, 2, 8, 2, 8, 8, 8]",53.30000321070353,5.307228330085172,4.666666666666667,1.034418688
"[2, 2, 2, 2, 8, 4, 2, 2, 2]",38.96666864554087,4.458200133285869,2.888888888888889,1.028372192
"[2, 2, 2, 2, 8, 4, 2, 2, 4]",59.40000315507253,8.769646210662671,3.111111111111111,1.028770112
"[2, 2, 2, 2, 8, 4, 2, 2, 8]",71.36666973431905,1.2552108161030364,3.5555555555555554,1.029565952
"[2, 2, 2, 2, 8, 4, 2, 4, 2]",40.23333489894867,5.461582253492298,3.111111111111111,1.028372192
"[2, 2, 2, 2, 8, 4, 2, 4, 4]",66.73333644866943,0.4189934827703698,3.3333333333333335,1.028770112
