bit_width_lambda,accuracy_mean,accuracy_std,bit_operations_mean,bit_operations_std,average_bit_width_mean,average_bit_width_std
-1e-08,69.3200021982193,0.30265492184799636,12655518208.0,841037209.5999999,6.844444444444444,0.23934065809486677
0.1,66.19000256061554,1.1691447394526584,5814880512.0,945872600.5475911,4.666666666666667,0.32960882164869604
1,65.00000357627869,0.6000005205497887,4225615104.0,65548.8,3.3333333333333335,0.0993807989999906
